sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
44,True,,1784156452.1056511,17702937000000,17702937000000,17704015000000,17703476000000,1078.0,2874.969,2874.969,17704.015,17704.015,,14828.325,True,25,0,0,0,False,0,1007,1329,2874969,2874970,2874969,0,0,360071,522562,11.67293,0.071087,-1.186929,-125.7863,10.00977,-11.02539,974.6777,0.60375,2.145,-0.4025,25,-38,-38,47.22222,True,190,3,37.24887717,-80.41800533,10,1.23,,,,1707348,5065,984
45,True,,1784156453.227257,17704062000000,17704062000000,17704828000000,17704445000000,766.0,2876.082,2876.082,17704.828,17704.828,,14828.325,True,25,0,0,0,False,0,1007,1330,2876082,2876084,2876082,0,0,360071,522562,11.68093,-0.739234,-0.17224,-122.6324,9.521484,-11.51367,981.5137,0.16625,-1.605,0.66,24,-37,-38,47.22222,True,455,3,37.24887433,-80.41800783,10,1.23,,,,1707798,5067,985
46,True,,1784156454.0844553,17704906000000,17704906000000,17705546000000,17705226000000,640.0,2876.928,2876.928,17705.546,17705.546,,14828.325,True,25,0,0,0,False,0,1007,1331,2876928,2876929,2876928,0,-0.021497746,360071,522565,11.68093,-1.399649,-1.550978,-123.2648,55.9082,-45.20508,950.2637,1.10375,1.0825,-6.4025,25,-40,-33,47.22222,True,51,3,37.24887317,-80.4180085,10,1.23,,,,1708232,5069,986
47,True,,1784156455.119163,17705953000000,17705953000000,17706656000000,17706304500000,703.0,2877.969,2877.969,17706.656,17706.671,,14828.325,True,25,0,0,0,False,0,1007,1332,2877969,2877970,2877969,-0.086015564,-0.107719591,360215,523183,11.68093,-0.046176,-2.595123,-135.2787,-4.150391,71.00586,890.2051,0.10375,16.395,-22.84,25,-29,-35,47.22222,True,239,3,37.24887233,-80.41800667,9,1.3,,,,1708801,5071,987
48,True,,1784156456.1125374,17706937000000,17706937000000,17707703000000,17707320000000,766.0,2878.963,2878.963,17707.703,17707.703,,14828.335000000001,True,25,0,0,0,False,0,1007,1333,2878963,2878964,2878963,-0.12896805,-0.12896805,360938,524066,11.68093,0.915877,1.711962,-132.9533,-78.85742,-11.02539,1061.592,-3.64625,-12.7925,1.9725,26,-31,-35,47.22222,True,191,3,37.24887167,-80.41800517,10,1.39,,,,1709376,5073,988
49,True,,1784156457.1345978,17707968000000,17707968000000,17708718000000,17708343000000,750.0,2879.976,2879.976,17708.718,17708.718,,14828.335499999997,True,25,0,0,0,False,0,1007,1334,2879976,2879977,2879976,-0.150462725,-0.12896805,361820,525031,11.68093,1.840532,-3.585879,-128.3851,1.220703,106.6504,926.3379,-4.64625,19.145,-2.9025,26,-40,-31,47.22222,True,210,3,37.24886983,-80.41800267,10,1.23,,,,1709951,5075,989
50,True,,1784156458.1388478,17708968000000,17708968000000,17709640000000,17709304000000,672.0,2880.982,2880.982,17709.64,17709.64,,14828.335499999997,True,25,0,0,0,False,0,1007,1335,2880982,2880983,2880982,-0.129060236,-0.129115611,362715,525973,11.68093,-0.915481,1.655955,-137.3425,5.615234,65.63477,1144.111,0.72875,3.145,8.4725,30,-23,-28,47.22222,True,203,3,37.24886567,-80.41800517,10,1.23,,,,1710524,5077,990
51,True,,1784156458.864976,17709687000000,17709687000000,17710453000000,17710070000000,766.0,2881.71,2881.71,17710.453,17710.453,,14828.336000000001,True,25,0,0,0,False,0,1007,1336,2881710,2881712,2881710,-0.150484223,-0.150505727,363369,526638,11.68093,-1.003334,2.399698,-143.7121,-31.00586,40.73242,1001.533,-10.95875,-7.355,-0.6525,31,-20,-30,46.66667,True,91,3,37.2488685,-80.41800467,9,1.3,,,,1710880,5079,991
52,True,,1784156460.1423378,17710968000000,17710968000000,17711687000000,17711327500000,719.0,2883.005,2883.005,17711.687,17711.687,,14828.336000000001,True,25,0,0,0,False,0,1007,1337,2883005,2883006,2883005,-0.046132983,-0.023059421,364256,527538,11.68093,-1.613403,0.550052,-154.1727,-34.42383,-13.95508,979.0723,1.10375,-15.105,1.285,33,-12,-29,46.66667,True,410,3,37.2488665,-80.4180035,10,1.23,,,,1711664,5081,991
53,True,,1784156461.0660527,17711890000000,17711890000000,17712609000000,17712249500000,719.0,2883.911,2883.911,17712.609,17712.609,,14828.336000000001,True,25,0,0,0,False,0,1007,1338,2883911,2883912,2883911,0,-0.021132405,364274,527557,11.68093,-0.98571,-0.294071,-157.0927,15.86914,-22.25586,980.5371,1.16625,1.52,-6.0275,37,-18,-24,47.22222,True,113,3,37.24886317,-80.4180045,10,1.23,,,,1712106,5083,992
