sequence,service,family,horizon_s,pos_tol_m,heading_tol_deg,aoi_limit_s,rate_hz,interval_s,delay_ms,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,failure_duration_s,max_failure_episode_s,mean_aoi_s,max_aoi_s,calibration_coverage,calibration_physical_satisfaction,calibration_freshness_satisfaction,calibration_joint_satisfaction,speed_mean,speed_p95,yaw_abs_mean,yaw_abs_p95,accel_abs_p95,turn_fraction,qualified
parking02,local_1s,local,1.0,0.1,2.0,0.6,2.0,0.5,200,1.0,0.6625064578404981,0.5999673709111673,0.42948038176033937,699.4000000000002,3.7000000000000006,0.5000081572663874,0.6999999999825377,0.9896551724137931,0.5249709639953543,0.6027874564459931,0.35772357723577236,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,0
parking02,local_1s,local,1.0,0.1,2.0,0.6,5.0,0.2,0,1.0,0.9900753188133887,1.0,0.9900753188133887,12.166666666666666,0.16666666666666666,0.04999592136389539,0.1000000000058207,1.0,0.8862068965517241,1.0,0.8862068965517241,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_1s,local,1.0,0.1,2.0,0.6,5.0,0.2,25,1.0,0.9228322049106779,1.0,0.9228322049106779,94.60000000000002,1.0333333333333334,0.1500040786361036,0.2000000000116415,0.996551724137931,0.7946943483275662,1.0,0.7946943483275662,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_1s,local,1.0,0.1,2.0,0.6,5.0,0.2,50,1.0,0.9228322049106779,1.0,0.9228322049106779,94.60000000000002,1.0333333333333334,0.1500040786361036,0.2000000000116415,0.996551724137931,0.7946943483275662,1.0,0.7946943483275662,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_1s,local,1.0,0.1,2.0,0.6,5.0,0.2,100,1.0,0.904043287924518,1.0,0.904043287924518,117.63333333333337,1.0666666666666667,0.1700057100917095,0.2999999999883584,0.996551724137931,0.7866205305651673,1.0,0.7866205305651673,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_1s,local,1.0,0.1,2.0,0.6,5.0,0.2,200,1.0,0.7934306767816842,1.0,0.7934306767816842,253.23333333333335,2.8000000000000003,0.2899991842751086,0.3999999999941792,0.9896551724137931,0.6202090592334495,1.0,0.6202090592334495,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,0
parking02,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,0,1.0,0.9999456181852788,1.0,0.9999456181852788,0.06666666666666667,0.06666666666666667,0.0,0.0,1.0,0.8724137931034482,1.0,0.8724137931034482,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,25,1.0,0.9808032194034314,1.0,0.9808032194034314,23.533333333333342,1.0333333333333334,0.09999999999999949,0.1000000000058207,0.996551724137931,0.8985005767012687,1.0,0.8985005767012687,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,50,1.0,0.9808032194034314,1.0,0.9808032194034314,23.533333333333342,1.0333333333333334,0.09999999999999949,0.1000000000058207,0.996551724137931,0.8985005767012687,1.0,0.8985005767012687,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,100,1.0,0.9569296027408435,1.0,0.9569296027408435,52.80000000000001,1.0666666666666667,0.1200016314556054,0.1999999999825377,0.996551724137931,0.8685121107266435,1.0,0.8685121107266435,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
parking02,local_1s,local,1.0,0.1,2.0,0.6,10.0,0.1,200,1.0,0.8320417652337059,1.0,0.8320417652337059,205.9,1.9666666666666668,0.2400032629112108,0.2999999999883584,0.9896551724137931,0.6655052264808362,1.0,0.6655052264808362,1.2879678960735652,1.5726486351442093,0.0797505856324631,0.42720115364640404,1.044363342680681,0.2358803986710963,1
