trial,policy,requests,requests_per_s,response_bytes_per_s,p95_delivery_age_s,repeated_source_fraction,rate_switches,service_id,windows,pass,fail,unobservable,observable_fraction,satisfaction_given_observable
3,aoi-only,140,1.5425637409374373,954.9901937019322,1.239384187698306,0.02142857142857143,1,global_state_tracking,140,42,98,0,1.0,0.3
3,contract-aware,140,1.5425637409374373,954.9901937019322,1.239384187698306,0.02142857142857143,1,local_1s_tight,140,0,138,2,0.9857142857142858,0.0
3,contract-aware,140,1.5425637409374373,954.9901937019322,1.239384187698306,0.02142857142857143,1,local_5s_moderate,140,30,102,8,0.9428571428571428,0.22727272727272727
3,contract-aware,140,1.5425637409374373,954.9901937019322,1.239384187698306,0.02142857142857143,1,local_10s_preview,140,73,50,17,0.8785714285714286,0.5934959349593496
3,contract-aware,140,1.5425637409374373,954.9901937019322,1.239384187698306,0.02142857142857143,1,global_state_tracking,140,42,98,0,1.0,0.3
4,static-low,139,1.527220787782236,949.2940724056488,1.3684290523528944,0.06474820143884892,0,local_1s_tight,139,2,136,1,0.9928057553956835,0.014492753623188406
4,static-low,139,1.527220787782236,949.2940724056488,1.3684290523528944,0.06474820143884892,0,local_5s_moderate,139,11,119,9,0.935251798561151,0.08461538461538462
4,static-low,139,1.527220787782236,949.2940724056488,1.3684290523528944,0.06474820143884892,0,local_10s_preview,139,39,85,15,0.8920863309352518,0.31451612903225806
4,static-low,139,1.527220787782236,949.2940724056488,1.3684290523528944,0.06474820143884892,0,global_state_tracking,139,33,106,0,1.0,0.23741007194244604
4,static-high,139,1.527220787782236,949.2940724056488,1.3684290523528944,0.06474820143884892,0,local_1s_tight,139,2,136,1,0.9928057553956835,0.014492753623188406
4,static-high,139,1.527220787782236,949.2940724056488,1.3684290523528944,0.06474820143884892,0,local_5s_moderate,139,11,119,9,0.935251798561151,0.08461538461538462
4,static-high,139,1.527220787782236,949.2940724056488,1.3684290523528944,0.06474820143884892,0,local_10s_preview,139,39,85,15,0.8920863309352518,0.31451612903225806
4,static-high,139,1.527220787782236,949.2940724056488,1.3684290523528944,0.06474820143884892,0,global_state_tracking,139,33,106,0,1.0,0.23741007194244604
4,aoi-only,139,1.527220787782236,949.2940724056488,1.3684290523528944,0.06474820143884892,1,local_1s_tight,139,2,136,1,0.9928057553956835,0.014492753623188406
4,aoi-only,139,1.527220787782236,949.2940724056488,1.3684290523528944,0.06474820143884892,1,local_5s_moderate,139,11,119,9,0.935251798561151,0.08461538461538462
4,aoi-only,139,1.527220787782236,949.2940724056488,1.3684290523528944,0.06474820143884892,1,local_10s_preview,139,39,85,15,0.8920863309352518,0.31451612903225806
4,aoi-only,139,1.527220787782236,949.2940724056488,1.3684290523528944,0.06474820143884892,1,global_state_tracking,139,33,106,0,1.0,0.23741007194244604
