============================================================================================================
ORIGINAL DUAL-GRU — 10-FOLD × 3-SEED DETERMINISTIC REPRODUCIBILITY STUDY
============================================================================================================
Device: cuda
GPU: Tesla T4
Git commit: 9bd1f06a415bcc47e416797226dade06094b8216
Base seeds: [42, 1042, 2042]
Sequences: building00, building01, building02, parking00, parking01, parking02, playground00, street00, street01, street02
Strict deterministic algorithms: True
No V2/V3/V3.1/V3.2 model is trained in this notebook.

Preparing sequences using ORIGINAL LOSO pipeline...
  building00     12009 samples
  building01     13689 samples
  building02     18714 samples
  parking00      11409 samples
  parking01      10599 samples
  parking02      12569 samples
  playground00   13263 samples
  street00       13738 samples
  street01       12483 samples
  street02       13799 samples

Existing completed runs: 0/30

============================================================================================================
RUN 1/30 | replicate=1/3 | test=building00 | base_seed=42 | method_seed=45
VAL  : building01, building02
      dual     epoch=004 train=0.20650 val=0.06577
      dual     epoch=005 train=0.20457 val=0.06239
      dual     epoch=006 train=0.07918 val=0.02261
      dual     epoch=007 train=0.06745 val=0.02025
      dual     epoch=008 train=0.06610 val=0.01749
      dual     epoch=009 train=0.06469 val=0.01632
      dual     epoch=010 train=0.06387 val=0.01644
      dual     epoch=011 train=0.06307 val=0.01303
      dual     epoch=012 train=0.06246 val=0.01199
      dual     epoch=013 train=0.06188 val=0.01056
      dual     epoch=014 train=0.06140 val=0.01037
      dual     epoch=015 train=0.06101 val=0.01080
      dual     epoch=016 train=0.06047 val=0.01076
      dual     epoch=017 train=0.05972 val=0.00937
      dual     epoch=018 train=0.05916 val=0.00961
      dual     epoch=019 train=0.05853 val=0.00928
      dual     epoch=020 train=0.05805 val=0.00718
      dual     epoch=021 train=0.05762 val=0.00877
      dual     epoch=022 train=0.05738 val=0.00846
      dual     epoch=023 train=0.05645 val=0.00795
      dual     epoch=024 train=0.05607 val=0.00760
      dual     epoch=025 train=0.05504 val=0.00652
      dual     epoch=026 train=0.05507 val=0.00636
      dual     epoch=027 train=0.05453 val=0.00592
      dual     epoch=028 train=0.05373 val=0.00788
      dual     epoch=029 train=0.05301 val=0.00520
      dual     epoch=030 train=0.05245 val=0.00594
      dual     epoch=031 train=0.05181 val=0.00587
      dual     epoch=032 train=0.05119 val=0.00688
      dual     epoch=033 train=0.05032 val=0.00692
      dual     epoch=034 train=0.04960 val=0.00525
      dual     epoch=035 train=0.04897 val=0.00467
      dual     epoch=036 train=0.04855 val=0.00582
      dual     epoch=037 train=0.04822 val=0.00415
      dual     epoch=038 train=0.04707 val=0.00442
      dual     epoch=039 train=0.04643 val=0.00460
      dual     epoch=040 train=0.04628 val=0.00399
      dual     epoch=041 train=0.04613 val=0.00384
      dual     epoch=042 train=0.04540 val=0.00554
      dual     epoch=043 train=0.04457 val=0.00395
      dual     epoch=044 train=0.04441 val=0.00562
      dual     epoch=045 train=0.04420 val=0.00535
      dual     epoch=046 train=0.04365 val=0.00576
      dual     epoch=047 train=0.04347 val=0.00484
      dual     epoch=048 train=0.04313 val=0.00645
      dual     epoch=049 train=0.04265 val=0.00568
      dual     epoch=050 train=0.04236 val=0.00521
      dual     epoch=051 train=0.04240 val=0.00529
      dual: early stop at epoch 51; best=0.003837
RESULT street00 seed#1: ATE=0.297 m | RPE5=0.066 m | RPE10=0.117 m | heading=0.32°

============================================================================================================
RUN 9/30 | replicate=1/3 | test=street01 | base_seed=42 | method_seed=845
VAL  : street02, building00
TRAIN: building01, building02, parking00, parking01, parking02, playground00, street00
============================================================================================================
      dual     epoch=001 train=0.36087 val=0.17768
      dual     epoch=002 train=0.21818 val=0.13814
      dual     epoch=003 train=0.20482 val=0.12816
      dual     epoch=004 train=0.19946 val=0.12075
      dual     epoch=005 train=0.19709 val=0.11179
      dual     epoch=006 train=0.06391 val=0.08241
      dual     epoch=007 train=0.05911 val=0.07987
      dual     epoch=008 train=0.05751 val=0.08011
      dual     epoch=009 train=0.05704 val=0.07887
      dual     epoch=010 train=0.05662 val=0.07947
