sequence,base_seed,x,y,pearson_r_timestamp_descriptive,n_timestamps,note
playground00,42,curvature_abs,Dtheta,0.10232845318370948,12540,"descriptive only; timestamps are correlated, not independent replicates"
playground00,42,persistent_yaw_residual,Iomega,0.06505971595272336,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,42,speed_abs,Dp,0.47857398095959347,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,42,wheel_imu_yaw_disagreement_abs,Dp,0.0793586022197304,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,42,wheel_imu_yaw_disagreement_abs,Dtheta,-0.030405658239693524,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,1042,Dtheta,Dp,-0.012253997036144075,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,1042,Iomega,Dtheta,0.06319781402321842,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,1042,Iomega,signed_heading_error,-0.037724750297291915,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,1042,accel_abs,Dp,0.1072415564147704,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,1042,curvature_abs,Dp,-0.003543414701155824,12540,"descriptive only; timestamps are correlated, not independent replicates"
playground00,1042,curvature_abs,Dtheta,0.2283922433896615,12540,"descriptive only; timestamps are correlated, not independent replicates"
playground00,1042,persistent_yaw_residual,Iomega,0.016635226383606056,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,1042,speed_abs,Dp,0.47610388260912195,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,1042,wheel_imu_yaw_disagreement_abs,Dp,0.07744579216232461,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,1042,wheel_imu_yaw_disagreement_abs,Dtheta,-0.001896947202480012,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,2042,Dtheta,Dp,0.1880161983218522,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,2042,Iomega,Dtheta,-0.12155071280330203,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,2042,Iomega,signed_heading_error,0.13550817773967658,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,2042,accel_abs,Dp,0.11058563172548447,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,2042,curvature_abs,Dp,0.002411168971535011,12540,"descriptive only; timestamps are correlated, not independent replicates"
playground00,2042,curvature_abs,Dtheta,0.06071590229471698,12540,"descriptive only; timestamps are correlated, not independent replicates"
playground00,2042,persistent_yaw_residual,Iomega,0.0593172660506927,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,2042,speed_abs,Dp,0.4822572239316604,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,2042,wheel_imu_yaw_disagreement_abs,Dp,0.0805690877617163,13263,"descriptive only; timestamps are correlated, not independent replicates"
playground00,2042,wheel_imu_yaw_disagreement_abs,Dtheta,0.041173493433864894,13263,"descriptive only; timestamps are correlated, not independent replicates"
street00,42,Dtheta,Dp,0.050856799569433994,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,42,Iomega,Dtheta,0.041361550736539965,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,42,Iomega,signed_heading_error,-0.01679254060390177,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,42,accel_abs,Dp,0.08955618876199771,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,42,curvature_abs,Dp,0.06245516341935378,13482,"descriptive only; timestamps are correlated, not independent replicates"
street00,42,curvature_abs,Dtheta,0.5205269195772253,13482,"descriptive only; timestamps are correlated, not independent replicates"
street00,42,persistent_yaw_residual,Iomega,0.005056280026658053,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,42,speed_abs,Dp,0.05274635741994346,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,42,wheel_imu_yaw_disagreement_abs,Dp,0.08088137408899837,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,42,wheel_imu_yaw_disagreement_abs,Dtheta,0.08324557490907142,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,1042,Dtheta,Dp,0.011272314956270428,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,1042,Iomega,Dtheta,-0.006556664443231758,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,1042,Iomega,signed_heading_error,-0.06824253081302872,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,1042,accel_abs,Dp,0.08553899143285165,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,1042,curvature_abs,Dp,0.06341962352884373,13482,"descriptive only; timestamps are correlated, not independent replicates"
street00,1042,curvature_abs,Dtheta,0.5042349563221286,13482,"descriptive only; timestamps are correlated, not independent replicates"
street00,1042,persistent_yaw_residual,Iomega,0.0071419889193576735,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,1042,speed_abs,Dp,0.05110463905797085,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,1042,wheel_imu_yaw_disagreement_abs,Dp,0.08023797856832096,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,1042,wheel_imu_yaw_disagreement_abs,Dtheta,0.05495026728908213,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,2042,Dtheta,Dp,0.0791155090652949,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,2042,Iomega,Dtheta,0.07883649623365417,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,2042,Iomega,signed_heading_error,0.0011655318822881356,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,2042,accel_abs,Dp,0.08934029069785182,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,2042,curvature_abs,Dp,0.0635357106775195,13482,"descriptive only; timestamps are correlated, not independent replicates"
street00,2042,curvature_abs,Dtheta,0.5232029653002502,13482,"descriptive only; timestamps are correlated, not independent replicates"
street00,2042,persistent_yaw_residual,Iomega,0.008966665446247574,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,2042,speed_abs,Dp,0.052108107306876525,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,2042,wheel_imu_yaw_disagreement_abs,Dp,0.08140973296641023,13738,"descriptive only; timestamps are correlated, not independent replicates"
street00,2042,wheel_imu_yaw_disagreement_abs,Dtheta,0.11589746985856265,13738,"descriptive only; timestamps are correlated, not independent replicates"
street01,42,Dtheta,Dp,0.03917866234428137,12483,"descriptive only; timestamps are correlated, not independent replicates"
street01,42,Iomega,Dtheta,0.029208531066611372,12483,"descriptive only; timestamps are correlated, not independent replicates"
