context,condition_bin,component,units,n_sequences,n_sequence_condition_rows,support_label,sequence_mean_of_median,sequence_median_of_median,sequence_p95_of_median,sequence_sd_of_median,sequence_mean_of_mean,sequence_median_of_mean,sequence_p95_of_mean,sequence_sd_of_mean,sequence_mean_of_p90,sequence_median_of_p90,sequence_p95_of_p90,sequence_sd_of_p90,sequence_mean_of_p95,sequence_median_of_p95,sequence_p95_of_p95,sequence_sd_of_p95,sequence_mean_of_max,sequence_median_of_max,sequence_p95_of_max,sequence_sd_of_max
elapsed_time,late,Domega_radps,rad/s,10,10,descriptive_broad_support,0.0046104857086901934,0.004481938211635334,0.006958494676897826,0.0017446927599200732,0.015003523874028469,0.015018612835888179,0.021248450797048058,0.00490745036560771,0.04192636655759996,0.04154211860150099,0.06481205598451194,0.0157681130760276,0.07470171634107825,0.06740301577374334,0.1339916537034636,0.034728774784694605,0.27895506850133345,0.24627997539937502,0.4232803708563248,0.09563646838768662
elapsed_time,late,Dp_m,m,10,10,descriptive_broad_support,2.9180526652307455,0.9518642363607771,11.685784542711062,5.043082178709325,2.918903494007094,1.3373944399017899,11.10464464070032,4.719642928363717,4.565200097420612,1.9049187873302693,16.376069738552488,6.984643234999691,4.761877018326569,1.9812615538251759,17.11842218366131,7.308061619230006,5.0404976652454,2.161305087407923,17.98778079023805,7.677342133241304
elapsed_time,late,Dtheta_deg,deg,10,10,descriptive_broad_support,3.760532638439541,0.4139540965035934,18.23787817779158,8.499026501641428,3.8439406777181184,0.5711189093492534,18.21417579482759,8.423877702219336,4.742462197105221,1.1436586671042643,20.785812604705377,9.505077690902061,5.096998647952225,1.6305828593303755,21.219501166830696,9.621744372246445,6.270764042331132,3.0832200702937236,22.158487087497754,9.631010752560224
elapsed_time,late,Dv_mps,m/s,10,10,descriptive_broad_support,0.020201992892543753,0.01995601105348515,0.02558391189474299,0.004122587876363471,0.029405283331518574,0.02850244470246849,0.03739778234730122,0.006221652128820364,0.05977440787712106,0.05637268784145509,0.07994097297157463,0.014608016009323746,0.07987672601346267,0.07236129792872809,0.10882922618940924,0.02129554200574777,0.4982892326894216,0.5070416724386936,0.7097763913373151,0.17476693272389673
elapsed_time,late,Iomega_abs_deg,deg,10,10,descriptive_broad_support,15.301799467162365,14.079908962852809,28.060754284044002,8.510966351234364,15.245218710917296,14.129726705672027,27.861072935537244,8.267399636982107,17.606595506942494,15.329101024430042,32.14324368597788,9.243713798028736,17.972177861049794,15.59588118269318,32.770632314613984,9.346039686353924,19.227035211921528,17.52532838668133,33.63182081799844,9.327219659732275
elapsed_time,middle,Domega_radps,rad/s,10,10,descriptive_broad_support,0.004607720800170949,0.00458024735174445,0.007294574111195563,0.0018245697205755114,0.014765946262092183,0.015298447622602275,0.019428884008100913,0.003797912075717204,0.04023903641849755,0.04065291037162143,0.053577468724300394,0.011001071532698466,0.07363620974433913,0.06774851021667308,0.12678281601828822,0.03082957963189436,0.2788886805375417,0.23786027450114489,0.4401131358308096,0.09554390272185062
elapsed_time,middle,Dp_m,m,10,10,descriptive_broad_support,1.7681256545440618,1.0513254325560626,5.709179788225725,2.412754745448665,1.9220778306571908,1.2551109467044967,6.024620184340332,2.534802118178423,3.087621097248775,2.0082838864799415,9.793002009325605,4.217668293458465,3.6015399521595732,2.572096900394914,11.11365848308092,4.815137070043076,4.311760096763042,3.1848067043159363,13.134244212825859,5.6347172554421086
elapsed_time,middle,Dtheta_deg,deg,10,10,descriptive_broad_support,2.3494980225587168,0.4868916020867152,10.717021103312696,4.929488195657962,2.5861973745935756,0.651475374347243,11.164772194635045,5.034819953573151,3.8328594420864994,1.4679177856122159,14.34884565428275,6.204083189614039,4.143234711438433,1.6732919324362259,14.863859906728516,6.386138937762355,5.31642881417676,3.348976391138631,15.644964446039234,6.274934119559303
elapsed_time,middle,Dv_mps,m/s,10,10,descriptive_broad_support,0.020686452204123826,0.019992919677558004,0.02757317236003772,0.004426654811937913,0.02939373327931371,0.029686061788667308,0.03832396350295679,0.006242029158101442,0.05945883191190654,0.057800788378032465,0.07891849680027609,0.013458697095142321,0.07841686572105865,0.07711102757990976,0.108368847343372,0.0194873020416076,0.5289799793274141,0.5554109585355036,0.767427792182813,0.20018234469200688
elapsed_time,middle,Iomega_abs_deg,deg,10,10,descriptive_broad_support,9.425482970352844,7.930582463386052,16.222320264760427,4.971193958641195,9.572532658442935,8.254044801845525,16.34735732339278,4.899839672307983,12.473883356769948,11.66043838839348,21.252554756759594,5.863461747558233,12.829701023156463,12.210820669967315,21.792541456001832,5.954804291868445,14.041481848141299,14.030674859816859,22.572478935390144,5.864718761420383
speed,high,Domega_radps,rad/s,10,10,descriptive_broad_support,0.004607401933715915,0.004763263826248392,0.0071743856727455695,0.0017358024892758196,0.015900634451759866,0.015350658518673704,0.024768916109741634,0.00572156660961391,0.04560042420557388,0.041258137642095474,0.0780830250090609,0.019420327251684757,0.0827312483359128,0.06896169558167449,0.15908301879807066,0.043307230304498165,0.29751076729347303,0.25131042518963415,0.4879940055621167,0.13877629347816076
