outer_sequence,sequence,service,family,horizon_s,pos_tol_m,heading_tol_deg,aoi_limit_s,rate_hz,interval_s,delay_ms,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,failure_duration_s,max_failure_episode_s,mean_aoi_s,max_aoi_s,calibration_coverage,calibration_physical_satisfaction,calibration_freshness_satisfaction,calibration_joint_satisfaction,speed_mean,speed_p95,yaw_abs_mean,yaw_abs_p95,accel_abs_p95,turn_fraction,mean_position_discrepancy_m,p95_position_discrepancy_m,mean_heading_discrepancy_deg,p95_heading_discrepancy_deg,qualified
building00,building00,global,global,0.0,1.0,5.0,1.0,5.0,0.2,0,1.0,0.013152276026987786,1.0,0.013152276026987786,1155.5000000000002,879.2333333333335,0.04999572978051072,0.10000000000000002,1.0,0.8222222222222223,1.0,0.8222222222222223,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.8361688486261816,3.837523576935333,0.7660637802517362,2.1965481385524748,0
building00,building00,global,global,0.0,1.0,5.0,1.0,5.0,0.2,25,1.0,0.04927833290631139,1.0,0.04927833290631139,1113.2,338.03333333333336,0.15000427021948926,0.20000000000000004,0.9966666666666667,0.8762541806020067,1.0,0.8762541806020067,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.8460326187249505,3.9184481947620022,1.0105013906339029,3.3149603252256026,0
building00,building00,global,global,0.0,1.0,5.0,1.0,5.0,0.2,50,1.0,0.04927833290631139,1.0,0.04927833290631139,1113.2,338.03333333333336,0.15000427021948926,0.20000000000000004,0.9966666666666667,0.8762541806020067,1.0,0.8762541806020067,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.8460326187249505,3.9184481947620022,1.0105013906339029,3.3149603252256026,0
building00,building00,global,global,0.0,1.0,5.0,1.0,5.0,0.2,100,1.0,0.04927833290631139,1.0,0.04927833290631139,1113.2,338.03333333333336,0.15000427021948926,0.20000000000000004,0.9966666666666667,0.8762541806020067,1.0,0.8762541806020067,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.8460326187249505,3.9184481947620022,1.0105013906339029,3.3149603252256026,0
building00,building00,global,global,0.0,1.0,5.0,1.0,5.0,0.2,200,1.0,0.11763031286474791,1.0,0.11763031286474791,1033.1666666666667,323.3666666666667,0.24999572978051074,0.3,0.9933333333333333,0.9586129753914988,1.0,0.9586129753914988,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.8617587741530557,3.9977949699006317,1.3366786258554824,4.9957078262616275,0
building00,building00,global,global,0.0,1.0,5.0,1.0,10.0,0.1,0,1.0,0.008113417029635323,1.0,0.008113417029635323,1161.3999999999999,879.3333333333334,0.0,0.0,1.0,0.8188888888888889,1.0,0.8188888888888889,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.8325078702186801,3.81631938711002,0.6815983770048065,1.9575721356804507,0
building00,building00,global,global,0.0,1.0,5.0,1.0,10.0,0.1,25,1.0,0.018105730634554618,1.0,0.018105730634554618,1149.7,879.2333333333335,0.09999999999999999,0.10000000000000002,0.9966666666666667,0.8216276477146042,1.0,0.8216276477146042,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.8394956773276763,3.8828907108730992,0.8496172384606641,2.423064121263376,0
building00,building00,global,global,0.0,1.0,5.0,1.0,10.0,0.1,50,1.0,0.018105730634554618,1.0,0.018105730634554618,1149.7,879.2333333333335,0.09999999999999999,0.10000000000000002,0.9966666666666667,0.8216276477146042,1.0,0.8216276477146042,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.8394956773276763,3.8828907108730992,0.8496172384606641,2.423064121263376,0
building00,building00,global,global,0.0,1.0,5.0,1.0,10.0,0.1,100,1.0,0.018105730634554618,1.0,0.018105730634554618,1149.7,879.2333333333335,0.09999999999999999,0.10000000000000002,0.9966666666666667,0.8216276477146042,1.0,0.8216276477146042,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.8394956773276763,3.8828907108730992,0.8496172384606641,2.423064121263376,0
building00,building00,global,global,0.0,1.0,5.0,1.0,10.0,0.1,200,1.0,0.08002391322913999,1.0,0.08002391322913999,1077.2,333.3,0.19999999999999998,0.20000000000000004,0.9933333333333333,0.9284116331096198,1.0,0.9284116331096198,1.3143264915510757,1.5847519374997916,0.027046711696935885,0.108896777084937,0.7292533706494261,0.059800664451827246,1.8522470634814592,3.951116947807726,1.1693070349319237,4.161343425016786,0
