sequence,model_replicate,transport_replicate,condition,service,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,eligible_samples,observable_samples,mean_aoi_s,max_aoi_s,qualified
street02,seed_1042,1,practical,local_1s,1.0,0.8056935280599007,0.9994810586403736,0.8056935280599007,13489,13489,0.1579212691822296,0.6000000000058208,1
street02,seed_1042,1,practical,local_5s,1.0,0.8095025652464868,1.0,0.8095025652464868,13449,13449,0.1579448286117254,0.6000000000058208,1
street02,seed_1042,1,practical,local_10s,1.0,0.9176804239122323,1.0,0.9176804239122323,13399,13399,0.15797447570707476,0.6000000000058208,1
street02,seed_1042,1,practical,global,1.0,0.9173272094229202,1.0,0.9173272094229202,13499,13499,0.1579154011407582,0.6000000000058208,1
street02,seed_2042,1,practical,local_1s,1.0,0.8033212247016087,0.9994810586403736,0.8033212247016087,13489,13489,0.1579212691822296,0.6000000000058208,1
street02,seed_2042,1,practical,local_5s,1.0,0.7936649565023421,1.0,0.7936649565023421,13449,13449,0.1579448286117254,0.6000000000058208,0
street02,seed_2042,1,practical,local_10s,1.0,0.9184267482647959,1.0,0.9184267482647959,13399,13399,0.15797447570707476,0.6000000000058208,1
street02,seed_2042,1,practical,global,1.0,0.939625157419068,1.0,0.939625157419068,13499,13499,0.1579154011407582,0.6000000000058208,1
building00,seed_42,2,practical,local_1s,1.0,0.817505769723908,0.9933327634840584,0.8170783827677579,11699,11699,0.15925292760064655,0.8000000000010914,1
building00,seed_42,2,practical,local_5s,1.0,0.706407067501501,1.0,0.706407067501501,11659,11659,0.15928467278496988,0.8000000000010914,0
building00,seed_42,2,practical,local_10s,1.0,0.7569988801791714,1.0,0.7569988801791714,11609,11609,0.15929020587474943,0.8000000000010914,0
building00,seed_42,2,practical,global,1.0,0.055598257750448375,1.0,0.055598257750448375,11709,11709,0.1592450251942919,0.8000000000010914,0
building00,seed_1042,2,practical,local_1s,1.0,0.8197281818958886,0.9933327634840584,0.8193007949397384,11699,11699,0.15925292760064655,0.8000000000010914,1
building00,seed_1042,2,practical,local_5s,1.0,0.711467535809246,1.0,0.711467535809246,11659,11659,0.15928467278496988,0.8000000000010914,0
building00,seed_1042,2,practical,local_10s,1.0,0.7741407528641571,1.0,0.7741407528641571,11609,11609,0.15929020587474943,0.8000000000010914,0
building00,seed_1042,2,practical,global,1.0,0.0483388846186694,1.0,0.0483388846186694,11709,11709,0.1592450251942919,0.8000000000010914,0
building00,seed_2042,2,practical,local_1s,1.0,0.8168219505940678,0.9933327634840584,0.8163945636379177,11699,11699,0.15925292760064655,0.8000000000010914,1
building00,seed_2042,2,practical,local_5s,1.0,0.7113817651599622,1.0,0.7113817651599622,11659,11659,0.15928467278496988,0.8000000000010914,0
building00,seed_2042,2,practical,local_10s,1.0,0.7561374795417348,1.0,0.7561374795417348,11609,11609,0.15929020587474943,0.8000000000010914,0
building00,seed_2042,2,practical,global,1.0,0.053121530446664955,1.0,0.053121530446664955,11709,11709,0.1592450251942919,0.8000000000010914,0
building01,seed_42,2,practical,local_1s,1.0,0.8055161073323865,0.9931982958367591,0.8050676433216234,13379,13379,0.1593915838253949,0.8000000000010914,1
building01,seed_42,2,practical,local_5s,1.0,0.7247919634155484,1.0,0.7247919634155484,13339,13339,0.1594197466076886,0.8000000000010914,0
building01,seed_42,2,practical,local_10s,1.0,0.8111972307923847,1.0,0.8111972307923847,13289,13289,0.15942508841899017,0.8000000000010914,1
building01,seed_42,2,practical,global,1.0,0.13675405183359474,1.0,0.13675405183359474,13389,13389,0.15938456942265727,0.8000000000010914,0
building01,seed_1042,2,practical,local_1s,1.0,0.8061888033485313,0.9931982958367591,0.8057403393377681,13379,13379,0.1593915838253949,0.8000000000010914,1
building01,seed_1042,2,practical,local_5s,1.0,0.7265162306019941,1.0,0.7265162306019941,13339,13339,0.1594197466076886,0.8000000000010914,0
building01,seed_1042,2,practical,local_10s,1.0,0.8200767552110768,1.0,0.8200767552110768,13289,13289,0.15942508841899017,0.8000000000010914,1
building01,seed_1042,2,practical,global,1.0,0.1410112779147061,1.0,0.1410112779147061,13389,13389,0.15938456942265727,0.8000000000010914,0
building01,seed_2042,2,practical,local_1s,1.0,0.811570371477689,0.9931982958367591,0.8111219074669258,13379,13379,0.1593915838253949,0.8000000000010914,1
building01,seed_2042,2,practical,local_5s,1.0,0.7412099857560537,1.0,0.7412099857560537,13339,13339,0.1594197466076886,0.8000000000010914,0
