method,domain,mad,metric_a,metric_b,n_sequences,spearman,bootstrap_ci_low,bootstrap_ci_high,valid_bootstrap_replicates,interpretation
Twin V1,position_xy,0.5,rpe10_m,ed_mean_m,10,0.3696969696969697,-0.4,0.9220779220779219,20000,exploratory sequence-level correlation
Twin V1,position_xy,0.5,dp_p95_m,fd_max_m,10,0.6484848484848483,-0.1069182389937107,1.0,20000,exploratory sequence-level correlation
Twin V1,position_xy,1.0,ate_m,pct_matched,10,-0.9726488698881034,-1.0,-0.8075749961538342,20000,exploratory sequence-level correlation
Twin V1,position_xy,1.0,rpe10_m,pct_matched,10,-0.23708316203522517,-0.8881987577639753,0.6153846153846154,20000,exploratory sequence-level correlation
Twin V1,position_xy,1.0,dp_p95_m,pct_matched,10,-0.8753839828992931,-1.0,-0.41558441558441556,20000,exploratory sequence-level correlation
Twin V1,position_xy,1.0,ate_m,ed_mean_m,10,0.8909090909090909,0.5454545454545453,1.0,20000,exploratory sequence-level correlation
Twin V1,position_xy,1.0,ate_m,fd_max_m,10,0.7454545454545454,0.056504468718967325,1.0,20000,exploratory sequence-level correlation
Twin V1,position_xy,1.0,rpe10_m,ed_mean_m,10,0.23636363636363633,-0.6363636363636362,0.8867924528301887,20000,exploratory sequence-level correlation
Twin V1,position_xy,1.0,dp_p95_m,fd_max_m,10,0.7212121212121211,0.01886792452830189,1.0,20000,exploratory sequence-level correlation
Twin V2,heading,2.0,heading_mae_deg,pct_matched,10,-0.9848069807617047,-1.0,-0.8673184577074425,20000,exploratory sequence-level correlation
Twin V2,heading,2.0,dtheta_p95_deg,pct_matched,10,-0.996965091635306,-1.0,-0.9669875568304562,20000,exploratory sequence-level correlation
Twin V2,heading,2.0,heading_mae_deg,ed_mean_deg,10,0.8787878787878788,0.4437086092715231,1.0,20000,exploratory sequence-level correlation
Twin V2,heading,2.0,dtheta_p95_deg,fd_max_deg,10,0.7696969696969697,0.12987012987012986,1.0,20000,exploratory sequence-level correlation
Twin V2,heading,5.0,heading_mae_deg,pct_matched,10,-0.8986463755309779,-0.9968701018688442,-0.555136110002701,19975,exploratory sequence-level correlation
Twin V2,heading,5.0,dtheta_p95_deg,pct_matched,10,-0.937436866561092,-0.9999999999999999,-0.7137464271463299,19983,exploratory sequence-level correlation
Twin V2,heading,5.0,heading_mae_deg,ed_mean_deg,10,0.9878787878787878,0.8692810457516338,1.0,20000,exploratory sequence-level correlation
Twin V2,heading,5.0,dtheta_p95_deg,fd_max_deg,10,0.9757575757575757,0.8101265822784811,1.0,20000,exploratory sequence-level correlation
Twin V2,heading,10.0,heading_mae_deg,pct_matched,10,-0.7006490497453708,-0.938351290644441,-0.5254270830780441,17890,exploratory sequence-level correlation
Twin V2,heading,10.0,dtheta_p95_deg,pct_matched,10,-0.7006490497453708,-0.938351290644441,-0.5254270830780441,17823,exploratory sequence-level correlation
Twin V2,heading,10.0,heading_mae_deg,ed_mean_deg,10,0.9999999999999999,0.9999999999999999,1.0,20000,exploratory sequence-level correlation
Twin V2,heading,10.0,dtheta_p95_deg,fd_max_deg,10,0.9878787878787878,0.8692810457516338,1.0,20000,exploratory sequence-level correlation
Twin V2,position_xy,0.25,ate_m,pct_matched,10,-0.9393939393939393,-1.0,-0.6732026143790849,20000,exploratory sequence-level correlation
Twin V2,position_xy,0.25,rpe10_m,pct_matched,10,-0.32121212121212117,-0.9108280254777071,0.5250737577639686,20000,exploratory sequence-level correlation
Twin V2,position_xy,0.25,dp_p95_m,pct_matched,10,-0.8424242424242423,-1.0,-0.33749999999999997,20000,exploratory sequence-level correlation
Twin V2,position_xy,0.25,ate_m,ed_mean_m,10,-0.07878787878787878,-0.6688741721854303,0.509433962264151,20000,exploratory sequence-level correlation
Twin V2,position_xy,0.25,ate_m,fd_max_m,10,-0.6606060606060605,-0.9620253164556963,0.12658227848101267,20000,exploratory sequence-level correlation
Twin V2,position_xy,0.25,rpe10_m,ed_mean_m,10,0.05454545454545454,-0.6100628930817611,0.6603773584905661,20000,exploratory sequence-level correlation
Twin V2,position_xy,0.25,dp_p95_m,fd_max_m,10,-0.49090909090909085,-0.9240625746357775,0.3461538461538462,20000,exploratory sequence-level correlation
Twin V2,position_xy,0.5,ate_m,pct_matched,10,-0.9757575757575757,-1.0,-0.8101265822784811,20000,exploratory sequence-level correlation
Twin V2,position_xy,0.5,rpe10_m,pct_matched,10,-0.28484848484848485,-0.9259259259259257,0.5679012345679012,20000,exploratory sequence-level correlation
Twin V2,position_xy,0.5,dp_p95_m,pct_matched,10,-0.8787878787878788,-1.0,-0.4197530864197531,20000,exploratory sequence-level correlation
Twin V2,position_xy,0.5,ate_m,ed_mean_m,10,0.8060606060606059,0.37254901960784303,0.9622641509433963,20000,exploratory sequence-level correlation
Twin V2,position_xy,0.5,ate_m,fd_max_m,10,0.49090909090909085,-0.28760416666666655,0.9149379432624076,20000,exploratory sequence-level correlation
Twin V2,position_xy,0.5,rpe10_m,ed_mean_m,10,0.5030303030303029,-0.33333333333333326,0.9620253164556963,20000,exploratory sequence-level correlation
