sequence,bias_radps,bias_degps,ate_m,heading_mae_deg,dp_p95_m,dtheta_p95_deg,rpe1_m,rpe5_m,rpe10_m
street00,-0.005,-0.2864788975654116,154.10876933171224,90.89992779223257,294.4015050080009,171.00608976793578,0.010625086917794757,0.05336525706402443,0.23411813621010835
street00,-0.0025,-0.1432394487827058,110.33682637279878,81.9681991560837,186.28561513550903,154.46357328169265,0.011079847239683291,0.030378680466148323,0.0929881226887233
street00,-0.001,-0.057295779513082325,36.446862415400844,22.937919038963543,63.25483427373806,42.31145627424301,0.011443958978338165,0.034390549884727846,0.05691650929849462
street00,-0.0005,-0.028647889756541162,9.254539388911084,4.369288726855777,16.767100980677984,7.839163087346837,0.011579192073719035,0.038809577743171814,0.07178849408856136
street00,0.0,0.0,29.692158642702733,16.421673416667186,59.23542870323232,32.460039315166604,0.011720966306092895,0.04413260425837507,0.09457266138232433
street00,0.0005,0.028647889756541162,62.70581687076759,36.09262043030303,119.73404773900931,69.8214712925781,0.01186904698604968,0.05007043021611742,0.12083177508056915
street00,0.001,0.057295779513082325,93.85049789782467,55.76942239887695,175.85063841615533,107.19400108022,0.01202320082525827,0.05642866975510672,0.14872236040337056
street00,0.0025,0.1432394487827058,158.7571367938506,103.15943360820695,287.0065322066826,174.0339898417926,0.012519811569460165,0.07695609858135233,0.2362979542282473
street00,0.005,0.2864788975654116,146.61977216767218,80.7787134263155,292.553112282896,169.2566275346611,0.013448277889430099,0.11331962905753828,0.3863197062072284
street01,-0.005,-0.2864788975654116,480.0662513673888,94.37395097139874,709.2913800533364,171.89588196079558,0.017525034657566153,0.06773342552758883,0.26224289017271735
street01,-0.0025,-0.1432394487827058,248.28850947192112,81.31129237684816,399.56840929109313,157.51937433119926,0.018090841031574198,0.05456905606727775,0.12435011528848745
street01,-0.001,-0.057295779513082325,78.78876605439423,27.67515342026822,128.91624025108354,55.5104707961828,0.0184974717994584,0.061111711250384004,0.10336616550391238
street01,-0.0005,-0.028647889756541162,26.884155973693257,9.802733464163932,44.73024904240018,21.548684952361313,0.01864350438153257,0.06537639184884718,0.11670410738502947
street01,0.0,0.0,21.15517337003259,8.09462622588508,35.39261285910719,13.813809724055071,0.01879458133064681,0.0704065916665674,0.137192735293953
street01,0.0005,0.028647889756541162,63.147085062955405,25.964471384079914,105.79108827414795,46.37063695048504,0.01895058197758903,0.07605057155179647,0.16214640692109292
street01,0.001,0.057295779513082325,99.23926423305397,43.84277810222949,166.62647431580316,80.3383669397516,0.019111385723938543,0.08218195854527356,0.18981136232267395
street01,0.0025,0.1432394487827058,170.264275470104,96.53363354463859,287.60023317589815,175.6141015644289,0.019621416801709295,0.10259569200686852,0.2807795650252048
street01,0.005,0.2864788975654116,201.9521557808536,86.76931196532024,328.2407506811706,170.25210651969232,0.02055649592169889,0.1402981203637962,0.4421337369448352
street02,-0.005,-0.2864788975654116,528.746071987649,81.32124586990544,756.411647768931,169.7891379053314,0.017268888470987374,0.07153576360847548,0.291000481621053
street02,-0.0025,-0.1432394487827058,309.3730991543062,100.53013370763794,519.1632782154587,174.34992161299488,0.017786952021277527,0.05203661104504367,0.1422592275988427
street02,-0.001,-0.057295779513082325,136.86010830708202,48.3059947264679,243.13582714100252,95.04507245720266,0.018167065974058833,0.05451529954296765,0.09226753472242255
street02,-0.0005,-0.028647889756541162,79.09220659461714,28.54463863646069,143.6496232185648,57.51667286748432,0.018304629985027826,0.05783409587781905,0.09533033146498693
