sequence,seed,path,zero_bias_replay_position_rmse_m,bias_radps,bias_degps,ate_m,heading_mae_deg,dp_p95_m,dtheta_p95_deg,rpe1_m,rpe5_m,rpe10_m
parking01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_05_parking01\v2_evaluated_trajectory.csv,0.06614540107124241,0.0025,0.1432394487827058,46.42091524598105,71.52868673202188,87.45092945430204,137.36489116940763,0.021847389077830372,0.10498638353994531,0.26206761516574706
parking01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_05_parking01\v2_evaluated_trajectory.csv,0.06614540107124241,-0.0025,-0.1432394487827058,49.14618743639323,80.27658348623547,91.91730894945347,151.08102859190163,0.02011869567187867,0.05126019204526195,0.091625583327955
parking01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_05_parking01\v2_evaluated_trajectory.csv,0.06614540107124241,0.005,0.2864788975654116,59.69393378378936,102.37961549622224,91.16813588431326,172.68351848895307,0.022802867495111453,0.138325463972235,0.39892146900724884
parking01,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_05_parking01\v2_evaluated_trajectory.csv,0.06614540107124241,-0.005,-0.2864788975654116,62.258682872712804,100.39816544119032,109.04957517639832,172.13963169958816,0.01936176760686846,0.04843683112890382,0.19651965555815895
parking02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_06_parking02\v2_evaluated_trajectory.csv,0.06250919551886142,0.0,0.0,15.736421483531318,23.293483595494816,30.222234448655577,42.66985779576075,0.018243397518599113,0.057080697198790976,0.10434791957381763
parking02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_06_parking02\v2_evaluated_trajectory.csv,0.06250919551886142,0.0005,0.028647889756541162,3.809537206369614,5.291208290966505,6.988158172664539,8.676677392125553,0.018277660911048203,0.05788667664153065,0.10491787489976268
parking02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_06_parking02\v2_evaluated_trajectory.csv,0.06250919551886142,-0.0005,-0.028647889756541162,27.120280488097432,41.295786520708766,52.156875154003004,76.87407886017834,0.018213822405836102,0.057202470245642456,0.11147620680689681
parking02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_06_parking02\v2_evaluated_trajectory.csv,0.06250919551886142,0.001,0.057295779513082325,9.315332616841532,12.741493242608435,18.191651096552945,25.673259206597596,0.018316586269486006,0.059582769279998046,0.11306974955431535
parking02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_06_parking02\v2_evaluated_trajectory.csv,0.06250919551886142,-0.001,-0.057295779513082325,37.04509652264932,59.29808944592495,70.38812404089208,111.0620984550287,0.018188958445069722,0.05824617537960505,0.12499238042894512
parking02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_06_parking02\v2_evaluated_trajectory.csv,0.06250919551886142,0.0025,0.1432394487827058,40.48792569735731,66.71885638060283,77.30432890541125,128.24683011743195,0.018461021540496392,0.06919018012480281,0.16751676743271043
parking02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_06_parking02\v2_evaluated_trajectory.csv,0.06250919551886142,-0.0025,-0.1432394487827058,54.155318709628084,104.15226837034793,100.01221172282251,174.378986938422,0.01814280883642405,0.06628391671578117,0.18750188809955118
parking02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_06_parking02\v2_evaluated_trajectory.csv,0.06250919551886142,0.005,0.2864788975654116,50.83667627584293,99.31408690390523,88.8943156212551,172.2002875096854,0.018791614568928094,0.09476625962809139,0.2943996673813352
parking02,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_06_parking02\v2_evaluated_trajectory.csv,0.06250919551886142,-0.005,-0.2864788975654116,54.488397039971886,82.71928312277235,97.26821855809587,170.33055192684304,0.018161200428927892,0.0905162894305629,0.3175785826733314
playground00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_07_playground00\v2_evaluated_trajectory.csv,11.128229193118697,0.0,0.0,11.169392848557118,7.5972628290827595,21.611098601961906,14.046683499922933,0.013750921406837795,0.058707276770940335,0.11904388084007009
playground00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_07_playground00\v2_evaluated_trajectory.csv,11.128229193118697,0.0005,0.028647889756541162,34.02552808822733,26.57630726439019,59.120065834914946,50.09232433008553,0.013879431968094769,0.06308110163268923,0.1389623640325451
playground00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_07_playground00\v2_evaluated_trajectory.csv,11.128229193118697,-0.0005,-0.028647889756541162,14.578464475319747,11.416524130733785,25.757391859733783,22.07487737815239,0.01362935607858404,0.05524924839550267,0.10603829683300184
playground00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_07_playground00\v2_evaluated_trajectory.csv,11.128229193118697,0.001,0.057295779513082325,54.68195068502665,45.57272296195523,92.02424100480715,86.12744231433108,0.01401469667736914,0.06819468363557575,0.16328181613120737
playground00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_07_playground00\v2_evaluated_trajectory.csv,11.128229193118697,-0.001,-0.057295779513082325,38.594828706209135,30.41293982829825,68.31228866572837,58.20327022200427,0.013514923428474442,0.0528870286294396,0.102610790729711
playground00,02_1042,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_02_base1042\fold_07_playground00\v2_evaluated_trajectory.csv,11.128229193118697,0.0025,0.1432394487827058,92.59962680023092,99.53756167899229,154.60636523348836,174.98768912327975,0.014459072643877798,0.08657914638894179,0.24894793904065515
