sequence,replicate,condition,aoi_setting,service,original_aoi_limit_s,aoi_limit_s,rate_hz,delay_ms,jitter_sd_ms,loss_probability,burst_period_s,burst_duration_s,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,eligible_samples,observable_samples,mean_aoi_s,max_aoi_s,qualified
building00,replicate_01_base42,burst_2hz_2s_every_10s,aoi_0.2s,local_5s,1.0,0.2,2.0,200.0,50.0,0.05,10.0,2.0,1.0,0.2581696543442834,0.07950939188609658,0.020670726477399433,11659,11659,0.7296594905219794,3.600000000000364,0
building00,replicate_01_base42,burst_2hz_2s_every_10s,aoi_0.2s,local_10s,1.5,0.2,2.0,200.0,50.0,0.05,10.0,2.0,1.0,0.4351796020329055,0.07933499870789905,0.030579722628994745,11609,11609,0.7309070548708568,3.600000000000364,0
building00,replicate_01_base42,burst_2hz_2s_every_10s,aoi_0.2s,global,1.0,0.2,2.0,200.0,50.0,0.05,10.0,2.0,1.0,0.15757109915449655,0.07951148689042617,0.005380476556495004,11709,11709,0.7314971389525784,3.600000000000364,0
building01,replicate_01_base42,ideal_10hz,original,local_1s,0.6,0.6,10.0,0.0,0.0,0.0,,0.0,1.0,0.9417744226025861,1.0,0.9417744226025861,13379,13379,0.0,0.0,1
building01,replicate_01_base42,ideal_10hz,original,local_5s,1.0,1.0,10.0,0.0,0.0,0.0,,0.0,1.0,0.8461653797136217,1.0,0.8461653797136217,13339,13339,0.0,0.0,1
building01,replicate_01_base42,ideal_10hz,original,local_10s,1.5,1.5,10.0,0.0,0.0,0.0,,0.0,1.0,0.8941982090450749,1.0,0.8941982090450749,13289,13289,0.0,0.0,1
building01,replicate_01_base42,ideal_10hz,original,global,1.0,1.0,10.0,0.0,0.0,0.0,,0.0,1.0,0.07745163940548211,1.0,0.07745163940548211,13389,13389,0.0,0.0,0
building01,replicate_01_base42,ideal_10hz,aoi_0.5s,local_1s,0.6,0.5,10.0,0.0,0.0,0.0,,0.0,1.0,0.9417744226025861,1.0,0.9417744226025861,13379,13379,0.0,0.0,1
building01,replicate_01_base42,ideal_10hz,aoi_0.5s,local_5s,1.0,0.5,10.0,0.0,0.0,0.0,,0.0,1.0,0.8461653797136217,1.0,0.8461653797136217,13339,13339,0.0,0.0,1
building01,replicate_01_base42,ideal_10hz,aoi_0.5s,local_10s,1.5,0.5,10.0,0.0,0.0,0.0,,0.0,1.0,0.8941982090450749,1.0,0.8941982090450749,13289,13289,0.0,0.0,1
building01,replicate_01_base42,ideal_10hz,aoi_0.5s,global,1.0,0.5,10.0,0.0,0.0,0.0,,0.0,1.0,0.07745163940548211,1.0,0.07745163940548211,13389,13389,0.0,0.0,0
building01,replicate_01_base42,ideal_10hz,aoi_0.3s,local_1s,0.6,0.3,10.0,0.0,0.0,0.0,,0.0,1.0,0.9417744226025861,1.0,0.9417744226025861,13379,13379,0.0,0.0,1
building01,replicate_01_base42,ideal_10hz,aoi_0.3s,local_5s,1.0,0.3,10.0,0.0,0.0,0.0,,0.0,1.0,0.8461653797136217,1.0,0.8461653797136217,13339,13339,0.0,0.0,1
