aoi_limit_s,at_risk_fraction,heading_error_p95_deg,heading_tolerance_deg,horizon_s,log_file,minimum_normalized_margin,observable_fraction,physical_condition,policy,position_error_p95_m,position_tolerance_m,qualified_fraction,run_label,satisfied_observable_fraction,service_id,service_label,service_samples,trial,unobservable_fraction,wireless_condition,withdrawn_fraction
0.6,0.0,25.369353168850584,2.0,1.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial4_20260915_201320.jsonl,-12.606561433854752,0.08029197080291971,smooth_floor_mixed_motion,static-high,0.6976802972069045,0.1,0.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial4,0.0,local_1s_tight,Immediate motion,137,4,0.9197080291970803,wifi_baseline,0.08029197080291971
1.0,0.0,,5.0,5.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial4_20260915_201320.jsonl,,0.0,smooth_floor_mixed_motion,static-high,,0.2,0.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial4,,local_5s_moderate,Short prediction,137,4,1.0,wifi_baseline,0.0
1.5,0.0,,10.0,10.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial4_20260915_201320.jsonl,,0.0,smooth_floor_mixed_motion,static-high,,0.5,0.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial4,,local_10s_preview,Planning support,137,4,1.0,wifi_baseline,0.0
1.0,0.0,159.12588555579106,5.0,0.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial4_20260915_201320.jsonl,-30.844643903000975,0.927007299270073,smooth_floor_mixed_motion,static-high,3.211983930114013,1.0,0.0072992700729927005,smooth_floor_mixed_motion_wifi_baseline_static_high_trial4,0.007874015748031496,global_state_tracking,Global asset tracking,137,4,0.072992700729927,wifi_baseline,0.9197080291970803
0.6,0.0,92.94349393749997,2.0,1.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial5_20260915_201543.jsonl,-76.13894562500002,0.10294117647058823,smooth_floor_mixed_motion,static-high,1.2196647549539616,0.1,0.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial5,0.0,local_1s_tight,Immediate motion,136,5,0.8970588235294118,wifi_baseline,0.10294117647058823
1.0,0.0,149.8028951201931,5.0,5.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial5_20260915_201543.jsonl,-30.4178238482673,0.04411764705882353,smooth_floor_mixed_motion,static-high,2.337577678682016,0.2,0.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial5,0.0,local_5s_moderate,Short prediction,136,5,0.9558823529411765,wifi_baseline,0.04411764705882353
1.5,0.0,81.53597190511516,10.0,10.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial5_20260915_201543.jsonl,-7.153597190511516,0.007352941176470588,smooth_floor_mixed_motion,static-high,3.308461837094297,0.5,0.0,smooth_floor_mixed_motion_wifi_baseline_static_high_trial5,0.0,local_10s_preview,Planning support,136,5,0.9926470588235294,wifi_baseline,0.007352941176470588
1.0,0.0,149.74970253825234,5.0,0.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_high_trial5_20260915_201543.jsonl,-29.291093157650476,0.9779411764705882,smooth_floor_mixed_motion,static-high,8.820893184353167,1.0,0.007352941176470588,smooth_floor_mixed_motion_wifi_baseline_static_high_trial5,0.007518796992481203,global_state_tracking,Global asset tracking,136,5,0.022058823529411766,wifi_baseline,0.9705882352941176
0.6,0.0,20.745858918638884,2.0,1.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial1_20260915_193833.jsonl,-17.731307846048125,0.08196721311475409,smooth_floor_mixed_motion,static-low,0.5759341897168836,0.1,0.0,smooth_floor_mixed_motion_wifi_baseline_static_low_trial1,0.0,local_1s_tight,Immediate motion,122,1,0.9180327868852459,wifi_baseline,0.08196721311475409
1.0,0.0,3.5028061074072316,5.0,5.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_static_low_trial1_20260915_193833.jsonl,-4.780450646927475,0.03278688524590164,smooth_floor_mixed_motion,static-low,1.1025739660459293,0.2,0.0,smooth_floor_mixed_motion_wifi_baseline_static_low_trial1,0.0,local_5s_moderate,Short prediction,122,1,0.9672131147540983,wifi_baseline,0.03278688524590164
