dataset,domain,subsystem,segment,component,unit,horizon_s,n_points,normalized_p95_error,scale,unit_id,semantics
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-05,degC,600,600,0.036547050578297276,125.92503189999996,12:Heat Pipe TC-05,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-06,degC,60,62,0.00024342417430579406,193.69339839999992,12:Heat Pipe TC-06,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-06,degC,300,302,0.00818871954706227,193.69339839999992,12:Heat Pipe TC-06,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-06,degC,600,600,0.036680428883052826,193.69339839999992,12:Heat Pipe TC-06,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-07,degC,60,62,0.0018899949446529642,101.20897665000007,12:Heat Pipe TC-07,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-07,degC,300,302,0.00706316279511536,101.20897665000007,12:Heat Pipe TC-07,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-07,degC,600,600,0.04996679202451027,101.20897665000007,12:Heat Pipe TC-07,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-08,degC,60,62,0.0006586033633554115,82.47154725000007,12:Heat Pipe TC-08,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-08,degC,300,302,0.0049428540033240684,82.47154725000007,12:Heat Pipe TC-08,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-08,degC,600,600,0.031158957473760726,82.47154725000007,12:Heat Pipe TC-08,forecast trajectory remains within normalized discrepancy over service horizon
MAGNET,thermal_heat_pipe,10_thermowell_forecast,forecast_window_12,Heat Pipe TC-09,degC,60,62,0.0008349806142311551,108.34815115000004,12:Heat Pipe TC-09,forecast trajectory remains within normalized discrepancy over service horizon
