family,horizon_s,position_tolerance_m,heading_tolerance_deg,baseline_metric,kendall_tau_service_pass_vs_negative_error
local_relative_motion,1.0,0.05,1.0,dp_p95_m,0.24444444444444444
local_relative_motion,1.0,0.05,1.0,heading_mae_deg,0.28888888888888886
local_relative_motion,1.0,0.05,1.0,dtheta_p95_deg,0.28888888888888886
local_relative_motion,1.0,0.05,2.0,ate_m,0.19999999999999998
local_relative_motion,1.0,0.05,2.0,rpe1_m,0.7333333333333333
local_relative_motion,1.0,0.05,2.0,rpe5_m,0.6888888888888888
local_relative_motion,1.0,0.05,2.0,rpe10_m,0.7777777777777777
local_relative_motion,1.0,0.05,2.0,dp_p95_m,0.24444444444444444
local_relative_motion,1.0,0.05,2.0,heading_mae_deg,0.28888888888888886
local_relative_motion,1.0,0.05,2.0,dtheta_p95_deg,0.28888888888888886
local_relative_motion,1.0,0.05,5.0,ate_m,0.19999999999999998
local_relative_motion,1.0,0.05,5.0,rpe1_m,0.7333333333333333
local_relative_motion,1.0,0.05,5.0,rpe5_m,0.6888888888888888
local_relative_motion,1.0,0.05,5.0,rpe10_m,0.7777777777777777
local_relative_motion,1.0,0.05,5.0,dp_p95_m,0.24444444444444444
local_relative_motion,1.0,0.05,5.0,heading_mae_deg,0.28888888888888886
local_relative_motion,1.0,0.05,5.0,dtheta_p95_deg,0.28888888888888886
local_relative_motion,1.0,0.05,10.0,ate_m,0.19999999999999998
local_relative_motion,1.0,0.05,10.0,rpe1_m,0.7333333333333333
local_relative_motion,1.0,0.05,10.0,rpe5_m,0.6888888888888888
local_relative_motion,1.0,0.05,10.0,rpe10_m,0.7777777777777777
local_relative_motion,1.0,0.05,10.0,dp_p95_m,0.24444444444444444
local_relative_motion,1.0,0.05,10.0,heading_mae_deg,0.28888888888888886
local_relative_motion,1.0,0.05,10.0,dtheta_p95_deg,0.28888888888888886
local_relative_motion,1.0,0.05,20.0,ate_m,0.19999999999999998
local_relative_motion,1.0,0.05,20.0,rpe1_m,0.7333333333333333
local_relative_motion,1.0,0.05,20.0,rpe5_m,0.6888888888888888
local_relative_motion,1.0,0.05,20.0,rpe10_m,0.7777777777777777
local_relative_motion,1.0,0.05,20.0,dp_p95_m,0.24444444444444444
local_relative_motion,1.0,0.05,20.0,heading_mae_deg,0.28888888888888886
local_relative_motion,1.0,0.05,20.0,dtheta_p95_deg,0.28888888888888886
local_relative_motion,1.0,0.1,1.0,ate_m,0.19999999999999998
local_relative_motion,1.0,0.1,1.0,rpe1_m,0.7333333333333333
local_relative_motion,1.0,0.1,1.0,rpe5_m,0.6888888888888888
local_relative_motion,1.0,0.1,1.0,rpe10_m,0.7777777777777777
local_relative_motion,1.0,0.1,1.0,dp_p95_m,0.24444444444444444
local_relative_motion,1.0,0.1,1.0,heading_mae_deg,0.28888888888888886
local_relative_motion,1.0,0.1,1.0,dtheta_p95_deg,0.28888888888888886
local_relative_motion,1.0,0.1,2.0,ate_m,0.22473328748774735
local_relative_motion,1.0,0.1,2.0,rpe1_m,0.6741998624632421
local_relative_motion,1.0,0.1,2.0,rpe5_m,0.6292532049656926
local_relative_motion,1.0,0.1,2.0,rpe10_m,0.7191465199607915
local_relative_motion,1.0,0.1,2.0,dp_p95_m,0.26967994498529685
local_relative_motion,1.0,0.1,2.0,heading_mae_deg,0.35957325998039574
local_relative_motion,1.0,0.1,2.0,dtheta_p95_deg,0.3146266024828463
local_relative_motion,1.0,0.1,5.0,ate_m,0.22473328748774735
local_relative_motion,1.0,0.1,5.0,rpe1_m,0.6741998624632421
local_relative_motion,1.0,0.1,5.0,rpe5_m,0.6292532049656926
local_relative_motion,1.0,0.1,5.0,rpe10_m,0.7191465199607915
local_relative_motion,1.0,0.1,5.0,dp_p95_m,0.26967994498529685
local_relative_motion,1.0,0.1,5.0,heading_mae_deg,0.35957325998039574
local_relative_motion,1.0,0.1,5.0,dtheta_p95_deg,0.3146266024828463
local_relative_motion,1.0,0.1,10.0,ate_m,0.22473328748774735
local_relative_motion,1.0,0.1,10.0,rpe1_m,0.6741998624632421
local_relative_motion,1.0,0.1,10.0,rpe5_m,0.6292532049656926
local_relative_motion,1.0,0.1,10.0,rpe10_m,0.7191465199607915
local_relative_motion,1.0,0.1,10.0,dp_p95_m,0.26967994498529685
local_relative_motion,1.0,0.1,10.0,heading_mae_deg,0.35957325998039574
local_relative_motion,1.0,0.1,10.0,dtheta_p95_deg,0.3146266024828463
local_relative_motion,1.0,0.1,20.0,ate_m,0.22473328748774735
local_relative_motion,1.0,0.1,20.0,rpe1_m,0.6741998624632421
local_relative_motion,1.0,0.1,20.0,rpe5_m,0.6292532049656926
local_relative_motion,1.0,0.1,20.0,rpe10_m,0.7191465199607915
local_relative_motion,1.0,0.1,20.0,dp_p95_m,0.26967994498529685
local_relative_motion,1.0,0.1,20.0,heading_mae_deg,0.35957325998039574
local_relative_motion,1.0,0.1,20.0,dtheta_p95_deg,0.3146266024828463
local_relative_motion,1.0,0.2,1.0,ate_m,0.19999999999999998
local_relative_motion,1.0,0.2,1.0,rpe1_m,0.7333333333333333
local_relative_motion,1.0,0.2,1.0,rpe5_m,0.7777777777777777
local_relative_motion,1.0,0.2,1.0,rpe10_m,0.8666666666666666
local_relative_motion,1.0,0.2,1.0,dp_p95_m,0.24444444444444444
local_relative_motion,1.0,0.2,1.0,heading_mae_deg,0.19999999999999998
local_relative_motion,1.0,0.2,1.0,dtheta_p95_deg,0.19999999999999998
local_relative_motion,1.0,0.2,2.0,ate_m,0.167093470609201
local_relative_motion,1.0,0.2,2.0,rpe1_m,0.6922443782381184
local_relative_motion,1.0,0.2,2.0,rpe5_m,0.6922443782381184
local_relative_motion,1.0,0.2,2.0,rpe10_m,0.7877263614433762
local_relative_motion,1.0,0.2,2.0,dp_p95_m,0.21483446221182986
local_relative_motion,1.0,0.2,2.0,heading_mae_deg,0.21483446221182986
local_relative_motion,1.0,0.2,2.0,dtheta_p95_deg,0.167093470609201
local_relative_motion,1.0,0.2,5.0,ate_m,0.167093470609201
local_relative_motion,1.0,0.2,5.0,rpe1_m,0.6922443782381184
local_relative_motion,1.0,0.2,5.0,rpe5_m,0.6922443782381184
local_relative_motion,1.0,0.2,5.0,rpe10_m,0.7877263614433762
local_relative_motion,1.0,0.2,5.0,dp_p95_m,0.21483446221182986
local_relative_motion,1.0,0.2,5.0,heading_mae_deg,0.21483446221182986
local_relative_motion,1.0,0.2,5.0,dtheta_p95_deg,0.167093470609201
local_relative_motion,1.0,0.2,10.0,ate_m,0.167093470609201
local_relative_motion,1.0,0.2,10.0,rpe1_m,0.6922443782381184
local_relative_motion,1.0,0.2,10.0,rpe5_m,0.6922443782381184
local_relative_motion,1.0,0.2,10.0,rpe10_m,0.7877263614433762
local_relative_motion,1.0,0.2,10.0,dp_p95_m,0.21483446221182986
local_relative_motion,1.0,0.2,10.0,heading_mae_deg,0.21483446221182986
local_relative_motion,1.0,0.2,10.0,dtheta_p95_deg,0.167093470609201
